pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
407.317822,195.991255,485.180000,219.160000,469.680000,168.300000,464.716512,204.191067,410.120000,182.900000,364.870000,206.030000,592.020000,334.320000
412.442705,203.166091,490.960000,221.210000,476.950000,170.960000,473.941301,209.315950,416.240000,185.860000,372.640000,208.820000,591.970000,336.440000
415.517635,205.216044,496.900000,223.760000,483.550000,173.980000,481.116138,209.315950,422.090000,189.000000,381.610000,213.050000,591.980000,339.820000
420.642518,213.415857,502.920000,228.770000,489.640000,178.850000,485.216044,213.415857,427.750000,193.640000,389.990000,219.250000,591.670000,344.100000
416.542611,218.540740,507.840459,233.790506,495.190000,184.080000,490.340927,217.515763,433.020000,199.010000,397.980000,226.800000,591.000000,348.820000
422.692471,225.715576,512.180000,238.560000,500.570000,189.160000,496.490787,223.665623,438.050000,203.920000,403.217915,235.965342,588.900000,354.100000
419.617541,230.840459,518.090225,243.565249,506.240000,194.200000,499.565717,226.740553,443.640000,208.800000,410.392752,243.140179,587.310000,358.700000
423.717448,235.965342,523.960000,246.760000,511.520000,198.780000,504.690600,229.815483,449.060000,213.390000,421.667494,250.315015,585.890000,362.980000
434.992190,240.065249,528.400000,250.180000,504.690600,198.041208,509.815483,232.890412,454.740000,217.410000,426.792377,257.489851,584.340000,367.020000
436.017167,244.165155,533.080000,253.190000,510.840459,205.216044,515.965342,236.990319,459.240000,220.810000,429.867307,258.514828,583.970000,370.360000
439.092097,246.215108,537.790000,256.240000,518.015295,208.290974,522.115202,239.040272,464.320000,224.090000,442.167027,261.589757,583.180000,373.070000
447.291910,252.364968,544.189664,258.964874,522.115202,212.390880,525.190132,245.190132,469.550000,226.870000,441.142050,260.564781,582.200000,375.960000
461.641582,258.514828,551.839524,257.489851,527.240085,214.440834,531.339991,244.165155,476.610000,229.760000,447.291910,260.564781,582.710000,378.220000
460.616605,259.539804,558.350000,263.270000,535.439898,218.540740,537.489851,248.265062,483.060000,232.570000,455.491722,264.664687,583.000000,380.570000
469.841395,261.589757,563.189196,263.639711,540.564781,220.590693,541.589757,249.290038,489.720000,234.200000,466.766465,267.739617,583.070000,383.710000
475.991255,265.689664,568.040000,267.800000,546.714640,222.640646,547.739617,250.315015,496.110000,236.040000,472.916325,267.739617,584.130000,385.350000
483.166091,264.664687,574.210000,270.480000,552.864500,225.715576,553.889477,252.364968,502.620000,238.200000,479.970000,267.270000,584.700000,387.010000
490.340927,266.714640,581.770000,272.690000,560.039336,227.765529,563.114266,255.439898,508.580000,240.460000,487.120000,266.370000,585.110000,389.050000
