pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
214.622220,365.112395,294.570395,350.762722,246.396495,325.138307,288.808108,353.926320,258.330000,353.250000,312.000000,398.210000
217.697150,365.112395,298.670302,351.787699,249.471424,323.088354,291.625400,354.865417,260.970000,353.620000,316.041926,399.002984
221.797056,366.137371,301.745231,351.787699,252.546354,325.138307,294.442691,354.865417,261.990000,353.140000,319.900000,398.970000
223.847009,364.087418,300.720255,350.762722,251.521378,323.088354,297.259983,354.865417,265.490000,352.620000,330.128384,396.185693
228.971892,361.012488,304.820161,350.762722,257.671237,323.088354,298.199080,355.804514,267.030000,351.590000,332.006578,398.063887
232.046822,364.087418,308.920068,350.762722,260.746167,323.088354,302.894566,353.926320,268.890000,351.540000,332.006578,401.820276
235.121752,361.012488,310.970021,350.762722,261.771144,322.063377,304.772760,353.926320,270.830000,351.500000,339.519356,396.185693
239.221658,359.987512,314.044951,350.762722,265.871050,322.063377,307.590052,352.987223,274.280000,351.160000,345.153939,396.185693
245.371518,358.962535,316.094904,350.762722,265.871050,322.063377,309.468246,353.926320,276.710000,351.240000,347.032133,395.246595
247.421471,358.962535,319.169834,350.762722,270.995933,321.038401,312.285538,354.865417,278.960000,350.970000,352.666716,395.246595
249.471424,357.937558,320.194810,350.762722,274.070863,320.013424,315.102829,354.865417,279.417137,351.109028,357.362202,394.307498
251.521378,355.887605,321.219787,349.737746,279.195746,320.013424,317.920121,353.926320,280.430000,350.850000,360.179494,393.368401
254.596307,355.887605,325.319693,350.762722,280.220723,321.038401,319.798315,353.926320,283.130000,350.860000,362.996785,393.368401
255.621284,354.862629,329.419600,349.737746,282.270676,321.038401,322.615607,353.926320,284.950000,350.990000,364.874979,392.429304
259.721191,353.837652,330.444576,349.737746,285.345606,320.013424,324.493801,354.865417,288.670000,350.990000,367.692271,392.429304
264.846074,353.837652,333.519506,350.762722,289.445512,320.013424,327.311092,353.926320,291.450000,351.050000,371.448660,389.612012
266.896027,352.812675,334.544483,349.737746,291.495465,318.988447,330.128384,352.987223,293.360000,351.100000,377.083243,390.551110
269.970957,353.837652,338.644389,348.712769,293.545419,318.988447,332.945675,353.926320,295.030000,350.950000,378.022340,391.490207
270.995933,350.762722,337.619413,349.737746,296.620348,318.988447,335.762967,353.926320,297.259983,350.169931,382.717826,386.794721
276.120816,349.737746,340.694342,349.737746,297.645325,317.963471,338.580259,353.926320,298.910000,350.000000,384.596020,391.490207
278.170769,347.687792,343.769272,349.737746,301.745231,317.963471,340.458453,353.926320,300.930000,349.940000,386.474214,388.672915
281.245699,350.762722,347.869179,348.712769,306.870114,318.988447,342.336647,353.926320,302.900000,350.070000,389.291506,392.429304
282.270676,347.687792,348.894155,347.687792,308.920068,317.963471,345.153939,352.987223,306.560000,349.770000,392.108797,388.672915
288.420536,346.662816,351.969085,348.712769,307.895091,318.988447,345.153939,352.987223,309.390000,350.060000,395.865186,388.672915
